62 | w 32 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
63 | w 34c3 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
63 | w 34c3 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
64 | w 36 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
64 | w 36 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
65 | w 37000 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
65 | w 37000 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
66 | w 3rd | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
66 | w 3rd | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
67 | w 3x3 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
67 | w 3x3 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
68 | w 4 | f 9 | p 1 | 0.0001450396 0 0.0001470588 1 0.0004527618 0 0.00016728 
68 | w 4 | f 9 | p 0.0001450396 | 0 0.0001470588 1 0.0004527618 0 0.00016728 0.00016728 
69 | w 400 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
69 | w 400 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
70 | w 40m | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
70 | w 40m | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
71 | w 43 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
